序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor
2622,南投縣名間鄉,南雅村,市場巷20-2號,120.702841,23.837014,南雅村集會所,南雅村1~12鄰,20,水災,陳信如村長,049-2737221,否,否,否,219728.52105923428,2637004.8074382865,True
2623,南投縣魚池鄉,頭社村,平和巷105號,120.9027,23.8373,頭社國小,頭社村,75,"水災,震災,土石流",洪旭亮,049-2861237,是,是,否,240088.13312824702,2637008.15687101,True
2624,彰化縣竹塘鄉,田頭村,光明路60號,120.448869,23.837309,田頭國小,田頭村,200,"水災,震災,土石流,海嘯",李隆吉,04-8972189,是,否,是,193856.19666800066,2637114.882712403,True
2625,南投縣名間鄉,中正村,彰南路40-1號,120.7033,23.8382,公所中山堂,中正村1-21鄰,50,"水災,震災,土石流",行政室主任陳結龍,2732116-111,是,否,否,219775.55438905698,2637136.054038786,True
2626,彰化縣溪州鄉,圳寮村,彰化縣溪州鄉圳寮村下樹巷29號,120.5229,23.8391,圳寮國小,圳寮村,42,"水災,震災,土石流,海嘯",總務主任林宏憲,04-8802165,是,否,是,201398.54140256596,2637285.8817435754,True
2627,彰化縣大城鄉,公館村,青埔路7-8號,120.300323,23.83961,永光國小,公館村,100,"水災,震災,土石流,海嘯",莊正嘉,8941640,否,否,否,178724.59373088434,2637436.478426424,True
2628,彰化縣田中鎮,三安里,大安路1段200號,120.594376,23.840611,大安國小,三安里、香山里,181,"水災,震災,土石流,海嘯",吳素琴,876112,是,否,是,208680.26246582085,2637430.5501021594,True
2629,花蓮縣壽豐鄉,樹湖村,大樹腳59號,121.4692,23.8407,樹湖活動中心,樹湖村,38,"水災,震災,土石流,海嘯",黃素珠,03-8652810,是,否,是,297796.098682604,2637460.3914034083,True
2630,南投縣名間鄉,中山村,名松路一段83號,120.6932,23.8419,中山村集會所,中山村1-18鄰,50,水災,周文華村長,049-2731889,是,否,否,218747.56072447516,2637548.0039161243,True
2631,彰化縣埔心鄉,羅厝村,文昌東路100號,120.51,23.842,羅厝國小,南館村、新館村、舊館村、芎蕉村、羅厝村,100,"水災,震災,土石流,海嘯",盧錫?,048-296249-31,否,否,否,200085.52660084533,2637611.532356749,True
2632,彰化縣大城鄉,山腳村,古山路57號,120.31032,23.842146,萬安宮,山腳村,100,"水災,土石流,海嘯",羅美智,8943605,否,否,否,179744.3784343338,2637712.350235891,True
2633,彰化縣大城鄉,上山村,大山路2-1號,120.318028,23.842192,上山社區活動中心,上山村,100,"水災,土石流,海嘯",蔡金袋,8941155,否,否,否,180529.6189397828,2637713.645323958,True
2634,南投縣名間鄉,新厝村,新厝路74號,120.6591,23.8427,新厝村集會所,新厝村1-13鄰,60,水災,陳勇祥村長,049-2732768,是,否,否,215274.12231260398,2637644.537282907,True
2635,彰化縣溪州鄉,西畔村,廣一巷24號,120.5399,23.8429,成功國小西畔分校,西畔村9-16鄰,42,"水災,震災,土石流,海嘯",分校主任陳建文,04-8802179,是,否,是,203131.69751322776,2637700.996741975,True
2636,彰化縣溪州鄉,溪厝村,彰化縣溪州鄉溪厝村中山路2段362號,120.4791,23.8442,僑義國小,"溪厝村,坑厝村",33,"水災,震災,土石流,海嘯",總務主任黃培勝,04-8892244,是,否,是,196938.69717602036,2637866.4026881717,True
2637,彰化縣竹塘鄉,樹腳村,福田路6號,120.447765,23.844303,樹腳社區活動中心,樹腳村,50,"水災,土石流,海嘯",林清?,8970067,是,否,否,193746.74731457655,2637889.8942486607,True
2638,彰化縣大城鄉,頂庄村,許厝巷10號,120.272574,23.844414,臺西社區活動中心,頂庄村,100,"水災,土石流,海嘯",許山日,919811567,否,否,否,175900.4600168611,2637982.7557712602,True
2639,花蓮縣壽豐鄉,豐山村,中山路41號,121.4918,23.8464,豐山國小,豐山村,50,"水災,震災,土石流,海嘯",林忠宏,03-8651640,是,否,是,300096.14484753564,2638099.457126402,True
2640,彰化縣竹塘鄉,新廣村,光明路廣福巷57號,120.430132,23.846486,新廣社區活動中心,"新廣村,溪墘村",100,"水災,土石流,海嘯",鐘順勝,8972978,是,否,是,191951.49967049054,2638138.769111162,True
2641,南投縣名間鄉,三崙村,中庄巷7號,120.6367,23.8468,三崙社區活動中心,三崙村1-14鄰,30,"水災,震災",謝孟龍社區理事長,0955-401472,是,否,否,212993.4836224164,2638104.2658834164,True
2642,彰化縣竹塘鄉,長安村,東陽路二段123號,120.386672,23.847335,長安國小,"長安村,長安",100,"水災,震災,土石流,海嘯",吳貴枝,04-8972694,否,是,是,187524.8273143482,2638251.2762958687,True
2643,花蓮縣壽豐鄉,豐山村,中山路127巷15號,121.4936,23.8478,豐山活動中心,豐山村,47,"水災,震災,土石流,海嘯",陳春盛,03-8652801,是,否,是,300278.9609875577,2638255.1414064784,True
2644,彰化縣大城鄉,頂庄村,東厝路63-1號,120.282454,23.848336,頂庄國小,頂庄村,100,"水災,震災,土石流,海嘯",翁于茹,8945107,否,否,否,176909.125418669,2638411.9896877487,True
2645,南投縣魚池鄉,日月村,中正路211巷1號,120.9355,23.8485,德化國小,日月村,150,"水災,震災,土石流",簡文益,049-2850441,是,是,否,243430.0063960879,2638246.593394084,True
2646,彰化縣竹塘鄉,土庫村,東陽路一段362號,120.409448,23.84954,土庫國小,"內新村,土庫村",100,"水災,震災,土石流,海嘯",何承融,04-8972140,是,否,是,189845.92391189307,2638485.6227743514,True
2647,彰化縣埤頭鄉,竹圍村,竹圍路187號,120.454562,23.850218,竹圍社區活動中心,竹圍村,50,"水災,土石流,海嘯",黃昭仁,04-8893621,是,否,否,194441.6572892762,2638542.289459726,True
2648,彰化縣溪州鄉,溪州村,中央路三段300號,120.4951,23.8504,溪州國中,溪州村,78,"水災,震災,土石流,海嘯",總務主任張宏仁,04-8895054,是,否,是,198571.00722001845,2638547.1411443073,True
2649,南投縣名間鄉,三崙村,弓鞋巷16之2號,120.6262,23.8504,弓鞋社區活動中心,三崙村15-22鄰,30,"水災,震災",陳建龍社區理事長,0910-478459,是,否,否,211924.97266157373,2638505.735015694,True
2650,彰化縣田中鎮,沙崙里,沙崙路281號,120.583072,23.851096,沙崙社區活動中心,沙崙里,181,"水災,土石流,海嘯",蘇秀霧,8761122,是,否,是,207532.1593211544,2638595.072476387,True
2651,彰化縣溪州鄉,溪州村,圳南路138號,120.497777,23.851238,老人文康活動中心,"溪州村,尾厝村",42,"水災,震災,土石流,海嘯",總幹事陳明桂,04-8891384,是,否,否,198844.01949237174,2638638.978790991,True
2652,彰化縣溪州鄉,尾厝村,彰化縣溪州鄉尾厝村中山路3段415號,120.4971,23.8526,溪州國小,"尾厝村,東州村,舊眉村",584,"水災,震災,土石流,海嘯",總務主任黃志堅,04-8895013,是,否,是,198775.5950706699,2638790.0620260346,True
2653,彰化縣大城鄉,大城村,彰化縣大城鄉大城村中平路132號,120.324,23.8529,大城國中,全鄉,100,"水災,震災,土石流,海嘯",白崢仁,048-942980-13,是,是,是,181143.64460894332,2638896.643809419,True
2654,彰化縣大城鄉,大城村,彰化縣大城鄉大城村中平路176號,120.3203,23.853,大城演藝廳,全鄉,100,"水災,土石流,海嘯",白崢仁,048-942980-13,是,是,是,180766.80929222325,2638909.522043029,True
2655,彰化縣大城鄉,東城村,彰化縣大城鄉東城村南平路224號,120.3203,23.853,大城國小,全鄉,100,"水災,震災,土石流,海嘯",白崢仁,048-942980-13,是,是,是,180766.80929222325,2638909.522043029,True
2656,彰化縣溪州鄉,溪州村,彰化縣溪州鄉溪州村公園路95號,120.4909,23.853,南州國小,瓦厝村,363,"水災,震災,土石流,海嘯",總務主任林煥致,04-8892224,是,否,是,198144.2232496019,2638836.6166490964,True
2657,彰化縣田中鎮,新庄里,中南路三段 54 號,120.5997,23.8537,彰化縣田中鎮內安國民小學,新庄里、三安里、香山里、碧峰里、東源里、復興里,100,"水災,震災,土石流,海嘯",林秋雲,04-8761122259,是,否,是,209226.70346976627,2638878.5728672263,True
2658,彰化縣田中鎮,新民里,公館路320號,120.585674,23.85428,新民國小,新民里,181,"水災,震災,土石流,海嘯",蘇秀霧,8761122,是,否,是,207798.23056876633,2638946.913425969,True
2659,彰化縣北斗鎮,大新里,大新路556號,120.557239,23.85495,大新國小,大新里、新生里,440,"水災,震災,土石流,海嘯",許瑋玲,04-8882640#10,是,否,是,204902.13691399383,2639029.8750724737,True
2660,花蓮縣萬榮鄉,西林村,8鄰134號,121.342737,23.855288,西林社區活動中心,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是,284909.63392717805,2639039.063120372,True
2661,彰化縣埤頭鄉,陸嘉村,中華路434號,120.470711,23.855657,陸嘉社區活動中心,陸嘉村,15,"水災,土石流,海嘯",林福財,04-8890399,是,否,否,196088.87775029763,2639138.410700399,True
2662,南投縣名間鄉,仁和村,山腳巷17-2號,120.7057,23.8562,仁和村集會所,仁和村1-12鄰,50,"水災,土石流",陳訓田村長,049-2734156,是,否,否,220024.18050387953,2639128.9712079386,True
2663,彰化縣田中鎮,新庄里,中山街134號,120.594252,23.856537,新庄社區活動中心,東源里、新庄里,141,"水災,震災,土石流,海嘯",吳素琴,8761122,是,否,是,208672.68096516968,2639194.3404916935,True
2664,彰化縣田中鎮,中路里,中新路229號,120.588689,23.856625,田中鎮立圖書館,中路里,320,"水災,土石流,海嘯",洪巧凌,8761122,是,否,是,208106.08531387663,2639205.7202803832,True
2665,南投縣名間鄉,新光村,大廈巷30號,120.6758,23.8568,廈新社區活動中心,新光村1-17鄰,40,"水災,震災",謝坤憲社區理事長,0912-384550,是,否,否,216978.8579361508,2639202.067160935,True
2666,彰化縣田中鎮,梅州里,中州路一段416號,120.5821,23.8571,彰化縣立景崧文化教育園區-龍江館,梅州里、西路里、新民里、沙崙里、大崙里,150,"水災,土石流,海嘯",林秋雲,04-8761122259,是,否,是,207435.11258336206,2639260.289359356,True
2667,彰化縣田中鎮,南路里,中州路1段177號,120.587487,23.857342,田中國小,南路里、東路里、西路里,272,"水災,震災,土石流,海嘯",劉麗真,8761122,是,否,是,207983.88589130304,2639285.481893983,True
2668,花蓮縣萬榮鄉,西林村,7鄰103號,121.3593,23.8576,西林天主堂,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是,286596.0310976193,2639299.28919222,True
2669,南投縣名間鄉,竹圍村,竹圍巷39號,120.6382,23.8582,竹圍村社區活動中心,竹圍村1-11鄰,50,"水災,震災",黃玉輝社區理事長,0910-541490,是,否,否,213149.5021049563,2639366.38525958,True
2670,南投縣名間鄉,赤水村,南田路258之10號,120.6317,23.8595,赤水社區活動中心,赤水村1-10鄰,20,"水災,震災",陳瑞波社區理事長,049-2271283,是,否,否,212487.82433527257,2639512.0620742133,True
2671,彰化縣埤頭鄉,新庄村,光華路124號,120.483697,23.859739,新庄社區活動中心,新庄村,20,"水災,土石流,海嘯",鄭文周,04-8892001,是,否,否,197413.2486703964,2639585.6032735985,True
2672,彰化縣竹塘鄉,竹林村,竹鹿路保安巷45號,120.40292,23.860386,竹林社區活動中心,竹林村,50,"水災,土石流,海嘯",邱供,8973473,是,否,是,189186.02321430692,2639689.594490268,True
2673,南投縣名間鄉,大坑村,武東巷11之2號,120.6578,23.8605,大坑村集會所,大坑村1-11鄰,60,"水災,震災",陳振科村長,049-2271297,是,否,否,215146.45727936013,2639616.1413121847,True
2674,彰化縣田中鎮,東路里,員集路2段462號,120.585,23.8606,田中鎮公所公共造產公有第一零售市場,東路里、中路里、北路里、南路里、頂潭里、平和里,150,"水災,土石流,海嘯",謝文賢,04-8761122轉259,是,否,是,207731.62902215382,2639647.03576607,True
2675,彰化縣大城鄉,東港村,東港村中央路2號,120.286532,23.860997,西港國小二樓,東港村,100,"水災,震災,土石流,海嘯",張慧媚,8941029,否,否,否,177331.59628769694,2639812.1088741645,True
2676,彰化縣竹塘鄉,竹塘村,文化街20號,120.428771,23.861033,竹塘國小,竹塘村竹元村,200,"水災,震災,土石流,海嘯",楊深耕,04-8972039,是,否,是,191819.3566850772,2639750.3895726656,True
2677,彰化縣田中鎮,西路里,斗中路1段210號,120.580803,23.861492,田中鎮民活動中心,梅州里,75,"水災,土石流,海嘯",許秀卿,8761122,是,否,是,207304.44552601862,2639747.0810547685,True
2678,南投縣名間鄉,東湖村,虎坑巷6之1號,120.6955,23.8622,虎坑社區活動中心,東湖村16-26鄰,60,水災,吳元仁社區理事長,049-2732508,是,否,否,218986.68511984986,2639795.6439569476,True
2679,桃園市龜山區,幸福里,頂興路83巷1弄1號,120.971916,23.862946,幸福國小,幸福里,200,"水災,震災,土石流,海嘯",郭博嵐,3194072#511,是,否,是,247139.67095889422,2639845.204998855,True
2680,桃園市龜山區,楓樹里,光峰路277號,120.971916,23.862946,楓樹國小,楓樹里,200,"水災,震災,土石流,海嘯",林士哲,3206166#510,是,否,否,247139.67095889422,2639845.204998855,True
2681,南投縣名間鄉,東湖村,大老巷34號,120.7,23.8652,東仁社區活動中心,東湖村1-15鄰,60,水災,陳堅勝社區理事長,049-2734896,是,否,否,219445.71661084855,2640126.9044792363,True
2682,彰化縣田中鎮,北路里,員集路2段715號,120.586202,23.865501,三潭國小,頂潭里、中潭里、北路里,272,"水災,震災,土石流,海嘯",劉麗真,8761122,是,否,是,207855.6418247986,2640189.4492432084,True
2683,彰化縣埤頭鄉,大湖村,大湖路260號,120.4528,23.8659,大湖社區活動中心,大湖村,40,"水災,土石流,海嘯",紀佑澤,48922117,是,否,是,194268.88529698772,2640279.7397592897,True
2684,彰化縣北斗鎮,中和里,彰化縣北斗中和里中圳路305號,120.5462,23.8661,中和社區活動中心,中和里,150,"水災,土石流,海嘯",陳燕姿,04-8884166#32,是,否,是,203781.68913992282,2640268.2674542605,True
2685,南投縣魚池鄉,水社村,中山路191號,120.9098,23.8674,明潭國小,水社村,100,"水災,震災,土石流",施俊吉,049-2855045,是,是,否,240813.5265120905,2640341.1063774126,True
2686,彰化縣田中鎮,復興里,山腳路4段188巷109號,120.6062,23.867482,東和國小,復興里、平和里,181,"水災,震災,土石流,海嘯",周錦楷,04-8761122,是,否,是,209893.0237240643,2640403.03127462,True
2687,彰化縣田中鎮,龍潭里,大社路1段216巷100弄20號,120.580809,23.867615,龍潭社區活動中心,龍潭里,121,"水災,土石流,海嘯",蕭茂興,8761122,是,否,是,207307.06385466442,2640425.1843472645,True
2688,花蓮縣壽豐鄉,月眉村,月眉路3段24號,121.556384,23.867967,月眉國小,壽豐鄉月眉村,50,"水災,震災,土石流,海嘯",劉康盛,03-8631011,是,否,是,306665.6051548732,2640512.302322019,True
2689,花蓮縣壽豐鄉,米棧村,米棧路一段53號,121.5564,23.8681,月眉國小-米棧分校,米棧村,45,"水災,震災,土石流,海嘯",鍾萬仁,03-8741270,是,否,是,306667.17684902204,2640527.0383128384,True
2690,南投縣魚池鄉,水社村,中山路190號,120.9113,23.8684,明潭國中,水社村,150,"水災,震災,土石流",王慧娟,049-2855145,是,是,否,240966.36437354653,2640451.7552040727,True
2691,花蓮縣壽豐鄉,壽豐村,壽豐路1段97號,121.5099,23.8691,壽豐活動中心,壽豐村,13,"水災,震災,土石流,海嘯",劉鳳珠,03-8652805,是,否,是,301930.8452708387,2640619.9542957125,True
2692,彰化縣大城鄉,菜寮村,東平路6號,120.312409,23.869103,菜寮社區活動中心,菜寮村,100,"水災,震災,土石流,海嘯",許丁惠,8943605,否,否,否,179971.67631492938,2640696.8166431976,True
2693,花蓮縣壽豐鄉,共和村,農墾2街38號,121.5308,23.8693,共和活動中心,共和村,31,"水災,震災,土石流,海嘯",劉鳳珠,03-8652804,是,否,是,304059.3664325277,2640649.926712356,True
2694,彰化縣埤頭鄉,元埔村,文化路495巷11號,120.503333,23.869502,元埔社區活動中心,元埔村,35,"水災,土石流,海嘯",陳金意,04-8925036,是,否,否,199417.0510201795,2640659.684472212,True
2695,南投縣名間鄉,田仔村,田仔巷41之2號,120.6751,23.8702,田仔社區活動中心,田仔村1-18鄰,50,水災,陳耀裕社區理事長,0928-385043,是,否,否,216910.96391537547,2640686.23203441,True
2696,彰化縣北斗鎮,西德里,彰化縣北斗鎮西德里文賢街35號,120.5221,23.8703,萬來國小,西德里,500,"水災,震災,土石流,海嘯",鄭堂閔,04-8882119#15,是,否,是,201328.70120250125,2640741.4832592513,True
2697,花蓮縣壽豐鄉,壽豐村,壽山路26號,121.5091,23.8704,壽豐鄉公所,壽豐鄉各村,50,"水災,震災,土石流,海嘯",李昌貴,03-8654110,否,是,是,301848.8500125954,2640763.633800793,True
2698,花蓮縣壽豐鄉,壽豐村,公園路30號,121.5091,23.8704,文化中心,壽豐村,50,"水災,震災,土石流,海嘯",陳自強,03-8652131-122,是,否,是,301848.8500125954,2640763.633800793,True
2699,彰化縣埤頭鄉,芙朝村,文化路829號,120.482115,23.870694,芙朝社區活動中心,芙朝村,25,"水災,土石流,海嘯",顏慶郎,04-8925723,是,是,否,197256.55198518,2640799.438771844,True
2700,彰化縣北斗鎮,東光里,彰化縣北斗鎮斗中路712號,120.534312,23.871139,螺青國小,東光里、七星里,440,"水災,震災,土石流,海嘯",謝政毓,04-8882031,是,否,是,202572.7458506234,2640830.2561725164,True
2701,花蓮縣壽豐鄉,鹽寮村,鹽寮165號,121.59829,23.871385,鹽寮活動中心,鹽寮村,15,"水災,震災,土石流",黃文達,03-8671123,是,否,是,310932.0744908913,2640908.246113369,True
2702,彰化縣北斗鎮,西德里,彰化縣北斗鎮西德里公所街二號,120.5218,23.8714,北斗鎮公所,西德,70,"水災,震災,土石流,海嘯",周世昌,04-8884166#13,是,否,是,201298.5589553721,2640863.40910574,True
2703,南投縣名間鄉,大庄村,大廈巷82-4號,120.6551,23.8722,大庄村集會所,大庄村1-22鄰,30,"水災,震災",陳木根村長,049-2271189,是,否,否,214874.61220522472,2640912.5432745237,True
2704,南投縣名間鄉,赤水村,皮子寮巷21號,120.6324,23.8734,錦梓社區活動中心,赤水村11-20鄰,40,"水災,震災",陳春逢社區理事長,0952-271578,是,否,否,212563.1176667594,2641051.2568679964,True
2705,彰化縣竹塘鄉,五庄村,竹五路222號,120.431604,23.873491,五庄社區活動中心,五庄村,50,"水災,土石流,海嘯",洪順天,8971939,是,否,是,192113.44728013352,2641128.938753669,True
2706,彰化縣田中鎮,三光里,民光路一段394號,120.5661,23.8755,彰化縣田中鎮明禮國民國小,三民里、三光里、龍潭里、中潭里、大社里,100,"水災,震災,土石流,海嘯",林秋雲,04-8742344,是,否,否,205811.66791396192,2641302.940629674,True
2707,彰化縣北斗鎮,新政里,彰化縣北斗鎮新政里文苑路一段32號,120.523284,23.875762,北斗國小,居仁里、五權里,230,"水災,震災,土石流,海嘯",李欣欣,04-8882008#13,是,否,是,201451.32345898286,2641345.981821782,True
2708,彰化縣田中鎮,三光里,民光路1段392巷25號,120.566974,23.875905,三光社區活動中心,三光里,70,"水災,土石流,海嘯",蕭君怡,8761122,是,否,是,205900.81434214907,2641347.5208056397,True
2709,彰化縣北斗鎮,大道里,文苑路136號,120.521586,23.875935,北斗國中,新政里 重慶里,170,"水災,震災,土石流,海嘯",許瑞達,04-8882072#12,是,否,是,201278.46146501985,2641365.724630721,True
2710,彰化縣北斗鎮,西安里,斗苑路2段150號,120.514719,23.87624,螺陽國小,大道里、西安里,420,"水災,震災,土石流,海嘯",王美玲,04-8882039#104,是,否,是,200579.2328003992,2641401.8833687915,True
2711,南投縣中寮鄉,中寮村,鄉林巷23號,120.7732,23.8763,中寮社區活動中心,中寮村,30,"水災,震災,土石流",黃文安,049-2694162,是,否,是,226902.9615411813,2641342.316980407,True
2712,南投縣中寮鄉,崁頂村,永平路104號,120.7732,23.8763,崁頂社區活動中心,崁頂村,50,"水災,震災,土石流",廖俊松,049-2691164,是,否,是,226902.9615411813,2641342.316980407,True
2713,南投縣名間鄉,?下村,大岩巷30之8號,120.6355,23.8764,下社區活動中心,?下村1-14鄰,60,水災,陳愉欣社區理事長,0933-419923,是,否,否,212879.68424715736,2641382.681112406,True
2714,彰化縣北斗鎮,中寮里,彰化縣北斗中寮里中央路30巷31號,120.5109,23.8781,中寮社區活動中心,中寮里,310,"水災,震災,土石流,海嘯",陳瑩真,921492658,是,否,否,200191.01322413277,2641609.2134720013,True
2715,彰化縣北斗鎮,大道里,彰化縣北斗鎮大道里學府路50號,120.5221,23.8785,北斗家商,光復里、文昌里,470,"水災,震災,土石流,海嘯",陳聖芬,04-8882224,是,否,是,201331.7669953134,2641649.6163806855,True
2716,南投縣中寮鄉,內城村,龍南路6-3號,120.7628,23.879,內城社區活動中心,內城村,100,"水災,震災,土石流",廖增堆,049-2601662,是,否,是,225844.3351619888,2641643.067111085,True
2717,彰化縣大城鄉,豐美村,平和路5號,120.306808,23.879191,豐美社區活動中心,豐美村,100,"水災,震災,土石流,海嘯",王信木,8943756,否,否,否,179406.68968622226,2641816.8524967437,True
2718,南投縣名間鄉,新街村,彰南路472號,120.6934,23.8797,新街村集會所,新街村1-26鄰,20,水災,吳承達村長,049-2241087,是,否,否,218776.99573252193,2641734.166641369,True
2719,南投縣中寮鄉,八仙村,仙鹿巷,120.7641,23.8798,仙樂社區活動中心,八仙村1-3、9-12、14鄰,50,"水災,震災,土石流",江輝能,049-2691425,是,否,是,225976.8710435231,2641731.4426852316,True
2720,彰化縣埤頭鄉,崙腳村,中學路67號,120.460262,23.880113,埤頭國中,崙腳村,50,"水災,震災,土石流,海嘯",許文宗,04-8922004,是,否,否,195034.8901512875,2641850.8934038905,True
2721,南投縣中寮鄉,廣興村,永平路48-12號,120.7724,23.8805,頂興社區活動中心,廣興村,50,"水災,震災,土石流",蕭坤彰,049-2691848,是,否,是,226822.23815577893,2641807.5808717404,True
2722,花蓮縣壽豐鄉,光榮村,光榮1街26之1號,121.5143,23.8817,光榮活動中心,光榮村,39,"水災,震災,土石流,海嘯",沈佩儀,03-8652806,是,否,是,302373.90217500215,2642017.0045123184,True
2723,南投縣魚池鄉,大林村,永川巷5號,120.9442,23.8823,大林村集會所,大林村,25,"水災,震災,土石流",賴見成,049-2898327,是,否,否,244317.66670291027,2641989.406334067,True
2724,南投縣名間鄉,萬丹村,新丹巷38-2號,120.7063,23.8827,萬丹社區活動中心,萬丹村1-16鄰,50,水災,黃育堂村長兼社區理事長,049-2237938,是,否,否,220091.38121857663,2642063.6199344466,True
2725,南投縣中寮鄉,龍岩村,龍南路209-1號,120.7992,23.8828,爽文老人活動中心,龍岩村,100,"水災,震災,土石流",謝炫樵,049-2603698,是,否,是,229551.79926761403,2642058.1658920073,True
2726,南投縣魚池鄉,中明村,有水巷28-2號,120.9233,23.8834,金安老人會館,中明村,30,"水災,震災,土石流",楊崑欣,049-2899147,是,是,否,242189.40284595508,2642112.222745373,True
2727,花蓮縣壽豐鄉,平和村,平和路32號,121.5197,23.8837,平和活動中心,平和村,49,"水災,震災,土石流,海嘯",陳美珠,03-8661801,是,否,是,302923.00959655177,2642240.5105561838,True
2728,彰化縣田尾鄉,睦宜村,聖德巷162號,120.549163,23.884051,睦宜社區活動中心,睦宜村,42,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,204089.79850369963,2642255.334846757,True
2729,南投縣水里鄉,新興村,新興巷10-6號,120.872715,23.884867,新興老人會館,新興村,500,"水災,震災,土石流",邱明光,049-2772141,是,否,否,237038.31808483103,2642278.3992408686,True
2730,彰化縣田尾鄉,饒平村,建平路一段66號,120.527114,23.885121,天乙宮,饒平村,90,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,201844.83925851036,2642381.163785064,True
2731,南投縣中寮鄉,八仙村,永樂路36-1號,120.7572,23.8857,八仙社區活動中心,八仙村4-8、13鄰,50,"水災,震災,土石流",江輝能,049-2691425,是,否,是,225275.32039178378,2642386.0331333224,True
2732,彰化縣竹塘鄉,民靖村,彰化縣竹塘鄉民靖村金山路40號,120.41144,23.886404,老人文康中心,"民靖村,小西村",100,"水災,震災,土石流,海嘯",蔡鴻賢,048-972001-112,是,否,是,190065.80552474386,2642567.4369688034,True
2733,彰化縣田尾鄉,南鎮村,光復路一段295號,120.560701,23.886533,南鎮國小,南?、北?、新生、睦宜、新興、福田,150,"水災,震災,土石流,海嘯",林永能,04-8227962#28,是,否,是,205265.619818069,2642526.515126614,True
2734,南投縣魚池鄉,大林村,嵩山巷27號,120.949,23.8872,大林社區活動中心,大林村,25,"水災,震災,土石流",賴見成,049-2898327,是,否,否,244806.66523475858,2642531.8749012602,True
2735,南投縣魚池鄉,五城村,五城巷24-2號,120.8879,23.8874,五城村活動中心,五城村,75,"水災,震災,土石流",林紹憲,049-2897466,是,否,否,238584.86016534382,2642557.610007743,True
2736,彰化縣埤頭鄉,平原村,彰水路3段352巷45號,120.4601,23.8888,鄉立托兒所,平原村 崙腳村 埤頭村 元埔村,40,"水災,土石流,海嘯",陳烈堂,48927183,是,否,否,195022.0630220943,2642813.0312056798,True
2737,彰化縣社頭鄉,清水村,清興路50巷71號,120.605951,23.888885,清聖宮,清水村埤斗村山湖村,300,"水災,土石流,海嘯",蕭淑滿,04-8732621164,否,否,否,209874.2627421094,2642773.4233063967,True
2738,彰化縣田尾鄉,仁里村,中正路二段103巷9號,120.534111,23.888979,仁里社區活動中心,仁里村,84,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,202558.77879344905,2642806.0659321956,True
2739,彰化縣田尾鄉,饒平村,光復路2段575號,120.534111,23.888979,花與樹博物館,全鄉,350,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,202558.77879344905,2642806.0659321956,True
2740,彰化縣埤頭鄉,平原村,安康街72號,120.46,23.889,老人文康中心,平原村 埤頭村,25,"水災,土石流,海嘯",彭楷竣,48922117,是,否,是,195011.9643744812,2642835.2198433396,True
2741,南投縣中寮鄉,復興村,復興巷22號,120.7369,23.8892,永安社區活動中心,復興村,50,"水災,震災,土石流",官玉瑛,049-2694508,是,否,是,223208.85296591592,2642777.3405850115,True
2742,彰化縣田尾鄉,新生村,延平路150號,120.548715,23.88931,新生社區活動中心,新生村,84,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,204046.03417567257,2642837.9031315027,True
2743,彰化縣埤頭鄉,和豊村,埔尾路51號,120.487282,23.889782,四武宮辦公室,和豐村,30,"水災,土石流,海嘯",黃裕成,04-8910078,是,是,是,197790.4475084255,2642911.489288776,True
2744,彰化縣社頭鄉,仁雅村,社斗路一段295號,120.585,23.8898,社頭鄉公所大禮堂,全鄉,50,"水災,震災,土石流,海嘯",許瑞耘,04-8732621,是,是,是,207741.1095295327,2642880.8572663465,True
2745,南投縣魚池鄉,東光村,慶隆巷31-9號,120.9665,23.8898,東光村避難所,東光村,25,"水災,震災,土石流",林文成,049-2880523,是,否,否,246588.76021927682,2642819.2812124346,True
2746,彰化縣田尾鄉,福田村,光復路一段98巷181號,120.562711,23.889989,福田社區活動中心,福田村,60,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,205471.48634694028,2642908.6251994637,True
2747,南投縣魚池鄉,東光村,慶隆巷36號,120.9667,23.8905,東光國小,東光村,200,"水災,震災,土石流",吳國松,049-2880523,是,是,否,246609.144078166,2642896.798305272,True
2748,南投縣魚池鄉,五城村,華龍巷1-2號,120.8891,23.8909,五城國小,五城村,100,"水災,震災,土石流",王志全,049-2896455,是,是,否,238707.36006169394,2642945.1236135615,True
2749,彰化縣田尾鄉,正義村,中正路一段232號,120.516759,23.891782,正義社區活動中心,正義村,34,"水災,土石流,海嘯",葉美麟,04-8832171133,否,否,是,200792.86667305735,2643122.420165891,True
